level,isPromo,id,key,title,slug,link,picto,hasAlcohol,index,no_products
3,False,11623,11623,Tintos do Alentejo,tintos-do-alentejo,/shelves/garrafeira/vinhos-tintos/tintos-do-alentejo/11623,,,197,40
3,False,11625,11625,Tintos Biológicos,tintos-biologicos,/shelves/garrafeira/vinhos-tintos/tintos-biologicos/11625,,,198,1
3,False,11626,11626,Tintos Estrangeiros,tintos-estrangeiros,/shelves/garrafeira/vinhos-tintos/tintos-estrangeiros/11626,,,199,2
3,False,11478,11478,Brancos do Douro,brancos-do-douro,/shelves/garrafeira/vinhos-brancos/brancos-do-douro/11478,,,200,15
3,False,11479,11479,Brancos do Dão,brancos-do-dao,/shelves/garrafeira/vinhos-brancos/brancos-do-dao/11479,,,201,7
3,False,11480,11480,Brancos das Beiras,brancos-das-beiras,/shelves/garrafeira/vinhos-brancos/brancos-das-beiras/11480,,,202,1
3,False,11627,11627,Brancos da Bairrada,brancos-da-bairrada,/shelves/garrafeira/vinhos-brancos/brancos-da-bairrada/11627,,,203,1
3,False,11628,11628,Brancos de Lisboa e Tejo,brancos-de-lisboa-e-tejo,/shelves/garrafeira/vinhos-brancos/brancos-de-lisboa-e-tejo/11628,,,204,16
3,False,11629,11629,Brancos de Setúbal,brancos-de-setubal,/shelves/garrafeira/vinhos-brancos/brancos-de-setubal/11629,,,205,17
3,False,11630,11630,Brancos do Alentejo,brancos-do-alentejo,/shelves/garrafeira/vinhos-brancos/brancos-do-alentejo/11630,,,206,40
3,False,11633,11633,Brancos Estrangeiros,brancos-estrangeiros,/shelves/garrafeira/vinhos-brancos/brancos-estrangeiros/11633,,,207,1
3,False,11634,11634,Rosé Douro e Dão,rose-douro-e-dao,/shelves/garrafeira/vinhos-rose/rose-douro-e-dao/11634,,,208,2
3,False,11635,11635,"Rosé Tejo, Lisboa e Setúbal",rose-tejo-lisboa-e-setubal,/shelves/garrafeira/vinhos-rose/rose-tejo-lisboa-e-setubal/11635,,,209,8
3,False,11636,11636,Rosé Alentejo e Algarve,rose-alentejo-e-algarve,/shelves/garrafeira/vinhos-rose/rose-alentejo-e-algarve/11636,,,210,4
3,False,11651,11651,Verde Tinto,verde-tinto,/shelves/garrafeira/vinhos-verdes/verde-tinto/11651,,,211,1
3,False,11652,11652,Verde Branco,verde-branco,/shelves/garrafeira/vinhos-verdes/verde-branco/11652,,,212,24
3,False,11653,11653,Verde Rosé,verde-rose,/shelves/garrafeira/vinhos-verdes/verde-rose/11653,,,213,4
3,False,11655,11655,Corrente Tinto,corrente-tinto,/shelves/garrafeira/vinhos-correntes-e-sangrias/corrente-tinto/11655,,,214,7
3,False,11656,11656,Corrente Branco,corrente-branco,/shelves/garrafeira/vinhos-correntes-e-sangrias/corrente-branco/11656,,,215,10
3,False,11658,11658,Frisante,frisante,/shelves/garrafeira/vinhos-correntes-e-sangrias/frisante/11658,,,216,17
3,False,11659,11659,Sangria,sangria,/shelves/garrafeira/vinhos-correntes-e-sangrias/sangria/11659,,,217,12
3,False,11660,11660,Moscatel,moscatel,/shelves/garrafeira/licorosos-e-aperitivos/moscatel/11660,,,218,14
3,False,11661,11661,Vinho do Porto,vinho-do-porto,/shelves/garrafeira/licorosos-e-aperitivos/vinho-do-porto/11661,,,219,27
3,False,11663,11663,Licores,licores,/shelves/garrafeira/licorosos-e-aperitivos/licores/11663,,,220,22
3,False,11664,11664,Aperitivos,aperitivos,/shelves/garrafeira/licorosos-e-aperitivos/aperitivos/11664,,,221,7
3,False,11665,11665,Vodka,vodka,/shelves/garrafeira/bebidas-espirituosas/vodka/11665,,,222,11
3,False,11666,11666,Whisky,whisky,/shelves/garrafeira/bebidas-espirituosas/whisky/11666,,,223,34
3,False,11667,11667,"Cocktails, Cachaça, Tequila e Rum",cocktails-cachaca-tequila-e-rum,/shelves/garrafeira/bebidas-espirituosas/cocktails-cachaca-tequila-e-rum/11667,,,224,20
3,False,11668,11668,Gin,gin,/shelves/garrafeira/bebidas-espirituosas/gin/11668,,,225,23
3,False,11669,11669,Aguardente e Brandy,aguardente-e-brandy,/shelves/garrafeira/bebidas-espirituosas/aguardente-e-brandy/11669,,,226,16
3,False,11670,11670,Champanhes,champanhes,/shelves/garrafeira/champanhe-e-espumantes/champanhes/11670,,,227,4
3,False,11671,11671,Espumantes,espumantes,/shelves/garrafeira/champanhe-e-espumantes/espumantes/11671,,,228,40
3,False,11404,11404,Detergente Máquina Loiça,detergente-maquina-loica,/shelves/limpeza/limpeza-da-cozinha/detergente-maquina-loica/11404,,,229,40
3,False,11405,11405,Detergente Líquido Loiça,detergente-liquido-loica,/shelves/limpeza/limpeza-da-cozinha/detergente-liquido-loica/11405,,,230,37
